BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;HAVO/VWO lj 3;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;0;0;0;0;21;22;0;0;0;0;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;HAVO/VWO lj 3;N.v.t.;N.v.t.;0300;HAVO;0;0;0;0;49;39;0;0;0;0;0;0
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0173;VWO-ATH Prf Cul/Maat;0;0;0;0;0;0;0;5;1;5;0;2
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0172;VWO-ATH Prf Ec/Maat;0;0;0;0;0;0;9;9;10;10;4;5
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0171;VWO-ATH Prf Nat/Gezond;0;0;0;0;0;0;7;14;4;10;6;14
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;VWO lj 4-6;N.v.t.;Natuur en Techniek;0170;VWO-ATH Prf Nat/Tech;0;0;0;0;0;0;7;3;8;1;5;2
00LJ;00;Chr Coll Schaersvoorde;AALTEN;Gelderland;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4016;VWO-ATH NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;0;0;2;7
00LJ;01;Chr Coll Schaersvoorde;DINXPERLO;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0013;Ljvb op VMBO-Th/Gm Lw;6;9;12;11;0;0;0;0;0;0;0;0
00LJ;01;Chr Coll Schaersvoorde;DINXPERLO;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;2;3;2;9;0;0;0;0;0;0;0;0
00LJ;01;Chr Coll Schaersvoorde;DINXPERLO;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0033;Ljvb op VMBO-Bbg/Kbg Lw;5;7;5;2;0;0;0;0;0;0;0;0
00LJ;01;Chr Coll Schaersvoorde;DINXPERLO;Gelderland;VMBO TL lj 3-4;Economie;N.v.t.;0472;MAVO/Theor Lw-Profiel Economie;0;0;0;0;0;0;2;6;0;0;0;0
00LJ;01;Chr Coll Schaersvoorde;DINXPERLO;Gelderland;VMBO TL lj 3-4;Landbouw;N.v.t.;0473;MAVO/Theor Lw-Profiel Landbouw;0;0;0;0;0;0;4;1;0;0;0;0
00LJ;01;Chr Coll Schaersvoorde;DINXPERLO;Gelderland;VMBO TL lj 3-4;N.v.t.;N.v.t.;0474;MAVO/Theor Lw-Profielloos leerjaar 3;0;0;0;0;19;11;0;0;0;0;0;0
00LJ;01;Chr Coll Schaersvoorde;DINXPERLO;Gelderland;VMBO TL lj 3-4;N.v.t.;N.v.t.;2215;LWOO/Theor Lw-Profielloos leerjaar 3;0;0;0;0;1;0;0;0;0;0;0;0
00LJ;01;Chr Coll Schaersvoorde;DINXPERLO;Gelderland;VMBO TL lj 3-4;Techniek;N.v.t.;0470;MAVO/Theor Lw-Profiel Techniek;0;0;0;0;0;0;4;0;0;0;0;0
00LJ;01;Chr Coll Schaersvoorde;DINXPERLO;Gelderland;VMBO TL lj 3-4;Zorg & Welzijn;N.v.t.;0471;MAVO/Theor Lw-Profiel Zorg en Welzijn;0;0;0;0;0;0;3;8;0;0;0;0
00LJ;02;Chr Coll Schaersvoorde;WINTERSWIJK;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0013;Ljvb op VMBO-Th/Gm Lw;9;15;10;12;0;0;0;0;0;0;0;0
00LJ;02;Chr Coll Schaersvoorde;WINTERSWIJK;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;6;4;4;3;0;0;0;0;0;0;0;0
00LJ;02;Chr Coll Schaersvoorde;WINTERSWIJK;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0033;Ljvb op VMBO-Bbg/Kbg Lw;7;8;7;0;0;0;0;0;0;0;0;0
00LJ;02;Chr Coll Schaersvoorde;WINTERSWIJK;Gelderland;VMBO TL lj 3-4;Economie;N.v.t.;0472;MAVO/Theor Lw-Profiel Economie;0;0;0;0;0;0;24;23;0;0;0;0
